Date,Time,Roll,Pitch,Yaw
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.1543,357.8906
25/7/2025,8:17:18,352.3535,358.1543,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:18,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.2422,357.8906
25/7/2025,8:17:19,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.2422,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:20,352.3535,358.1543,357.8906
25/7/2025,8:17:21,352.3535,358.0664,357.8906
25/7/2025,8:17:21,352.3535,358.0664,357.8906
25/7/2025,8:17:21,352.3535,358.1543,357.8906
25/7/2025,8:17:21,352.3535,358.1543,357.8906
